Zip,Latitude,Longitude
77461,29.401461,-95.82334
77633,30.158637,-96.407936
79034,36.397469,-100.16168
76068,32.759769,-98.316175
76308,33.859798,-98.54064
78469,27.777,-97.463213
79331,32.714521,-101.94086
79606,32.360362,-99.79886
75958,31.534162,-94.639022
76454,32.214932,-98.68404
76554,30.985136,-97.35508
88534,31.694842,-106.299987
76803,31.763882,-98.936021
76853,31.238292,-98.40241
78336,27.915764,-97.15436
76513,31.073329,-97.48642
76544,31.148447,-97.80918
77371,30.488028,-94.99963
78591,26.749896,-98.583016
79043,34.423414,-102.12132
75173,33.048275,-96.42153
75386,32.767268,-96.777626
79954,31.694842,-106.299987
77203,29.83399,-95.434241
77508,29.569927,-95.106637
77616,30.564151,-94.2076
77873,30.56335,-95.8337
79987,31.694842,-106.299987
78156,29.611797,-97.971208
78608,30.9306,-97.90929
79095,34.858194,-100.20763
75450,33.404332,-95.52546
75451,32.971224,-95.11339
75713,32.411237,-95.289903
76116,32.72228,-97.44409
76117,32.805379,-97.27036
76444,32.122804,-98.55799
76520,30.851922,-96.96323
77431,29.173701,-95.820719
77541,28.975247,-95.34357
78131,29.79918,-98.338419
78212,29.460381,-98.49649
79783,32.369835,-102.03317
75057,33.04867,-96.99321
75852,30.984335,-95.71669
77632,30.182584,-93.79964
79022,36.090281,-102.60769
79526,32.627475,-100.76416
77433,29.884175,-95.72219
79699,32.466474,-99.711665
79251,34.975549,-100.44628
79357,33.667836,-101.38794
79742,31.34197,-102.8564
79855,31.099326,-104.69511
75801,31.779481,-95.63325
79225,34.261752,-99.5202
77218,29.83399,-95.434241
77450,29.758799,-95.74751
78358,28.065865,-97.04066
79755,31.608083,-101.86524
73301,30.326374,-97.771258
78766,30.442202,-97.62333
79985,31.694842,-106.299987
88554,31.694842,-106.299987
76487,33.009411,-97.89968
76831,30.776619,-98.95072
75367,32.767268,-96.777626
78283,29.437532,-98.461582
76015,32.691393,-97.13546
78159,29.269305,-97.60044
78284,29.442632,-98.491344
78675,30.460464,-98.71911
75849,31.398448,-95.4737
76036,32.573816,-97.38491
76198,32.771419,-97.291484
76244,32.771419,-97.291484
75248,32.968123,-96.78863
75802,31.926836,-95.579561
88514,31.694842,-106.299987
76867,31.217152,-99.347156
75265,32.767268,-96.777626
77342,30.78128,-95.59527
77861,30.752599,-96.09691
78207,29.423932,-98.5235
78289,29.437532,-98.461582
75429,33.237722,-95.90886
76084,32.434322,-97.09988
76181,32.771419,-97.291484
79518,33.361766,-100.6895
77850,31.313816,-95.993482
78671,30.230188,-98.62152
79231,33.943005,-101.09236
76261,33.817816,-97.94159
77436,29.375762,-96.227967
78145,28.650728,-98.00056
78502,26.25671,-98.198929
78658,29.592212,-97.58922
75443,33.469719,-96.111103
78670,29.777564,-97.81966
78843,29.356379,-100.79269
78410,27.846568,-97.59435
75755,32.649482,-95.1259
88579,31.694842,-106.299987
77027,29.739029,-95.44364
78235,29.33906,-98.42793
